Chicago, Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1960-2000
Missing: -99
Date,Value,Anomaly
196012,23.9,-3.8
196101,20.6,-1.1
196102,31.7,3.8
196103,38.6,0.8
196104,44.1,-4.8
196105,55.6,-4.3
196106,68.5,-0.7
196107,72.2,-1.9
196108,71.8,-0.6
196109,66.3,1.7
196110,54.1,0.6
196111,39.9,-0.5
196112,25.8,-1.9
196201,17.1,-4.6
196202,24.8,-3.1
196203,34.2,-3.6
196204,49.5,0.6
196205,65.8,5.9
196206,69.0,-0.2
196207,70.3,-3.8
196208,72.6,0.2
196209,61.4,-3.2
196210,56.3,2.8
196211,40.1,-0.3
196212,23.8,-3.9
196301,12.9,-8.8
196302,18.3,-9.6
196303,41.1,3.3
196304,52.2,3.3
196305,57.7,-2.2
196306,70.3,1.1
196307,73.4,-0.7
196308,69.9,-2.5
196309,66.2,1.6
196310,61.8,8.3
196311,43.3,2.9
196312,14.6,-13.1
196401,29.1,7.4
196402,28.0,0.1
196403,35.1,-2.7
196404,50.4,1.5
196405,64.1,4.2
196406,70.4,1.2
196407,73.5,-0.6
196408,69.0,-3.4
196409,64.6,0.0
196410,49.3,-4.2
196411,42.8,2.4
196412,26.1,-1.6
196501,22.9,1.2
196502,25.7,-2.2
196503,28.0,-9.8
196504,47.9,-1.0
196505,63.0,3.1
196506,66.2,-3.0
196507,70.8,-3.3
196508,69.4,-3.0
196509,65.1,0.5
196510,54.6,1.1
196511,41.7,1.3
196512,36.6,8.9
196601,17.7,-4.0
196602,27.5,-0.4
196603,40.9,3.1
196604,46.6,-2.3
196605,54.7,-5.2
196606,69.9,0.7
196607,75.9,1.8
196608,70.9,-1.5
196609,63.9,-0.7
196610,52.8,-0.7
196611,-99.0,-139.4
196612,-99.0,-126.7
196701,-99.0,-120.7
196702,-99.0,-126.9
196703,-99.0,-136.8
196704,-99.0,-147.9
196705,-99.0,-158.9
196706,-99.0,-168.2
196707,-99.0,-173.1
196708,-99.0,-171.4
196709,-99.0,-163.6
196710,-99.0,-152.5
196711,-99.0,-139.4
196712,-99.0,-126.7
196801,-99.0,-120.7
196802,-99.0,-126.9
196803,-99.0,-136.8
196804,-99.0,-147.9
196805,-99.0,-158.9
196806,-99.0,-168.2
196807,-99.0,-173.1
196808,73.3,0.9
196809,65.1,0.5
196810,54.3,0.8
196811,39.7,-0.7
196812,27.4,-0.3
196901,20.8,-0.9
196902,29.5,1.6
196903,34.1,-3.7
196904,50.4,1.5
196905,60.0,0.1
196906,63.9,-5.3
196907,72.7,-1.4
196908,73.5,1.1
196909,65.0,0.4
196910,51.4,-2.1
