Los Angeles, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1944-2000
Missing: -99
Date,Value,Anomaly
194408,67.4,-1.6
194409,66.3,-1.9
194410,62.0,-2.9
194411,57.4,-2.6
194412,56.3,0.5
194501,53.5,-1.3
194502,54.9,-1.1
194503,53.1,-3.5
194504,57.2,-1.8
194505,60.4,-1.0
194506,63.3,-1.2
194507,67.6,-0.2
194508,69.5,0.5
194509,68.7,0.5
194510,64.6,-0.3
194511,57.2,-2.8
194512,54.7,-1.1
194601,54.3,-0.5
194602,51.6,-4.4
194603,55.3,-1.3
194604,58.9,-0.1
194605,60.3,-1.1
194606,65.4,0.9
194607,68.1,0.3
194608,68.4,-0.6
194609,68.7,0.5
194610,61.7,-3.2
194611,56.8,-3.2
194612,54.3,-1.5
194701,51.3,-3.5
194702,57.0,1.0
194703,58.7,2.1
194704,60.1,1.1
194705,62.1,0.7
194706,65.1,0.6
194707,67.3,-0.5
194708,67.7,-1.3
194709,68.1,-0.1
194710,63.4,-1.5
194711,55.9,-4.1
194712,54.2,-1.6
194801,53.9,-0.9
194802,52.1,-3.9
194803,52.8,-3.8
194804,57.9,-1.1
194805,59.9,-1.5
194806,62.7,-1.8
194807,65.3,-2.5
194808,65.6,-3.4
194809,65.8,-2.4
194810,62.0,-2.9
194811,57.8,-2.2
194812,51.8,-4.0
194901,46.0,-8.8
194902,50.4,-5.6
194903,53.3,-3.3
194904,59.3,0.3
194905,61.3,-0.1
194906,66.0,1.5
194907,66.3,-1.5
194908,67.4,-1.6
194909,66.6,-1.6
194910,61.6,-3.3
194911,62.2,2.2
194912,52.2,-3.6
195001,47.5,-7.3
195002,52.6,-3.4
195003,54.8,-1.8
195004,58.7,-0.3
195005,58.7,-2.7
195006,61.8,-2.7
195007,67.8,0.0
195008,64.8,-4.2
195009,65.0,-3.2
195010,64.0,-0.9
195011,60.3,0.3
195012,58.0,2.2
195101,53.0,-1.8
195102,52.3,-3.7
195103,55.9,-0.7
195104,57.3,-1.7
195105,59.4,-2.0
195106,63.5,-1.0
195107,67.6,-0.2
195108,66.4,-2.6
195109,66.4,-1.8
195110,64.8,-0.1
195111,59.8,-0.2
195112,53.0,-2.8
195201,51.3,-3.5
195202,55.8,-0.2
195203,53.1,-3.5
195204,57.2,-1.8
195205,61.3,-0.1
195206,61.9,-2.6
195207,64.7,-3.1
195208,67.2,-1.8
195209,66.8,-1.4
195210,62.3,-2.6
195211,57.2,-2.8
195212,54.3,-1.5
195301,57.8,3.0
195302,56.4,0.4
195303,55.4,-1.2
195304,56.2,-2.8
195305,61.0,-0.4
195306,63.1,-1.4
195307,69.4,1.6
195308,65.8,-3.2
195309,64.3,-3.9
195310,64.2,-0.7
195311,60.3,0.3
195312,55.7,-0.1
195401,52.5,-2.3
195402,59.8,3.8
195403,54.1,-2.5
195404,57.4,-1.6
195405,59.9,-1.5
195406,63.4,-1.1
195407,70.2,2.4
195408,69.2,0.2
195409,66.2,-2.0
195410,60.9,-4.0
195411,60.9,0.9
195412,56.0,0.2
195501,50.3,-4.5
195502,53.6,-2.4
195503,57.6,1.0
195504,57.2,-1.8
195505,59.4,-2.0
195506,62.3,-2.2
195507,65.5,-2.3
195508,68.9,-0.1
195509,68.7,0.5
195510,60.6,-4.3
195511,57.9,-2.1
195512,53.9,-1.9
195601,53.0,-1.8
195602,50.5,-5.5
195603,56.6,0.0
195604,56.4,-2.6
195605,60.8,-0.6
195606,64.1,-0.4
195607,66.2,-1.6
195608,67.0,-2.0
195609,67.9,-0.3
195610,62.5,-2.4
195611,63.6,3.6
195612,56.6,0.8
195701,51.7,-3.1
195702,56.9,0.9
195703,56.8,0.2
195704,57.0,-2.0
195705,60.2,-1.2
195706,66.4,1.9
195707,69.3,1.5
195708,69.7,0.7
195709,65.9,-2.3
195710,63.1,-1.8
195711,57.0,-3.0
195712,57.7,1.9
195801,56.3,1.5
195802,57.1,1.1
195803,54.8,-1.8
195804,61.5,2.5
195805,63.3,1.9
195806,65.8,1.3
195807,66.9,-0.9
195808,70.3,1.3
195809,69.7,1.5
195810,69.4,4.5
195811,59.4,-0.6
195812,58.8,3.0
195901,57.2,2.4
195902,53.5,-2.5
195903,60.5,3.9
195904,61.9,2.9
195905,61.1,-0.3
195906,66.1,1.6
195907,71.4,3.6
195908,69.9,0.9
195909,69.5,1.3
195910,65.1,0.2
195911,62.8,2.8
195912,57.3,1.5
196001,51.7,-3.1
196002,54.4,-1.6
196003,58.3,1.7
196004,60.5,1.5
196005,62.9,1.5
196006,65.1,0.6
196007,68.9,1.1
196008,67.6,-1.4
196009,69.1,0.9
196010,63.7,-1.2
196011,57.2,-2.8
196012,54.7,-1.1
196101,58.4,3.6
196102,57.7,1.7
196103,56.8,0.2
196104,59.3,0.3
196105,59.8,-1.6
196106,64.0,-0.5
196107,70.1,2.3
196108,69.1,0.1
196109,67.1,-1.1
196110,64.7,-0.2
196111,58.0,-2.0
196112,53.0,-2.8
196201,55.0,0.2
196202,52.7,-3.3
196203,52.6,-4.0
196204,59.5,0.5
196205,60.5,-0.9
196206,62.1,-2.4
196207,65.0,-2.8
196208,68.5,-0.5
196209,66.7,-1.5
196210,63.6,-1.3
196211,58.7,-1.3
196212,55.5,-0.3
196301,54.2,-0.6
196302,60.1,4.1
196303,55.5,-1.1
196304,56.2,-2.8
196305,61.8,0.4
196306,64.6,0.1
196307,67.7,-0.1
196308,69.9,0.9
196309,73.5,5.3
196310,66.8,1.9
196311,60.7,0.7
196312,56.9,1.1
196401,54.2,-0.6
196402,54.9,-1.1
196403,54.9,-1.7
196404,57.1,-1.9
196405,57.4,-4.0
196406,61.1,-3.4
196407,65.8,-2.0
196408,68.4,-0.6
196409,65.7,-2.5
196410,66.0,1.1
196411,57.9,-2.1
196412,54.1,-1.7
196501,54.6,-0.2
196502,54.2,-1.8
196503,56.4,-0.2
196504,57.5,-1.5
196505,59.5,-1.9
196506,61.8,-2.7
196507,64.7,-3.1
196508,70.5,1.5
196509,67.0,-1.2
196510,68.4,3.5
196511,59.5,-0.5
196512,54.1,-1.7
196601,52.5,-2.3
196602,51.9,-4.1
196603,56.5,-0.1
196604,60.7,1.7
196605,62.4,1.0
196606,65.5,1.0
196607,66.3,-1.5
196608,71.0,2.0
196609,67.7,-0.5
196610,65.6,0.7
196611,59.9,-0.1
196612,56.5,0.7
196701,54.7,-0.1
196702,58.4,2.4
196703,56.0,-0.6
196704,51.9,-7.1
196705,61.0,-0.4
196706,61.8,-2.7
196707,67.7,-0.1
196708,72.1,3.1
196709,70.5,2.3
196710,68.0,3.1
196711,62.3,2.3
196712,53.8,-2.0
196801,55.1,0.3
196802,59.3,3.3
196803,58.2,1.6
196804,59.6,0.6
196805,60.6,-0.8
196806,64.7,0.2
196807,66.8,-1.0
196808,67.0,-2.0
196809,67.1,-1.1
196810,63.8,-1.1
196811,60.2,0.2
196812,52.8,-3.0
196901,55.4,0.6
196902,52.4,-3.6
196903,54.8,-1.8
196904,58.8,-0.2
196905,61.6,0.2
196906,64.0,-0.5
196907,67.6,-0.2
196908,69.5,0.5
196909,65.6,-2.6
196910,64.5,-0.4
196911,62.7,2.7
196912,57.2,1.4
197001,55.4,0.6
197002,59.2,3.2
197003,57.8,1.2
197004,57.8,-1.2
197005,61.8,0.4
197006,64.2,-0.3
197007,67.2,-0.6
197008,67.9,-1.1
197009,67.6,-0.6
197010,64.5,-0.4
197011,59.7,-0.3
197012,54.5,-1.3
197101,54.0,-0.8
197102,55.2,-0.8
197103,55.3,-1.3
197104,57.3,-1.7
197105,59.8,-1.6
197106,63.2,-1.3
197107,68.0,0.2
197108,72.7,3.7
197109,69.4,1.2
197110,63.5,-1.4
197111,57.7,-2.3
197112,51.2,-4.6
197201,52.4,-2.4
197202,55.3,-0.7
197203,58.3,1.7
197204,59.9,0.9
197205,62.6,1.2
197206,65.5,1.0
197207,68.8,1.0
197208,71.2,2.2
197209,68.3,0.1
197210,64.8,-0.1
197211,58.7,-1.3
197212,55.3,-0.5
197301,53.1,-1.7
197302,57.0,1.0
197303,53.9,-2.7
197304,58.5,-0.5
197305,60.9,-0.5
197306,65.2,0.7
197307,66.4,-1.4
197308,67.6,-1.4
197309,66.0,-2.2
197310,64.2,-0.7
197311,58.0,-2.0
197312,56.8,1.0
197401,52.8,-2.0
197402,55.9,-0.1
197403,55.1,-1.5
197404,58.1,-0.9
197405,61.4,0.0
197406,65.1,0.6
197407,69.0,1.2
197408,68.1,-0.9
197409,67.4,-0.8
197410,64.4,-0.5
197411,61.1,1.1
197412,54.3,-1.5
197501,55.3,0.5
197502,54.1,-1.9
197503,54.2,-2.4
197504,55.1,-3.9
197505,59.5,-1.9
197506,62.9,-1.6
197507,67.4,-0.4
197508,66.7,-2.3
197509,68.7,0.5
197510,63.9,-1.0
197511,59.1,-0.9
197512,56.1,0.3
197601,58.5,3.7
197602,56.4,0.4
197603,56.8,0.2
197604,56.4,-2.6
197605,61.7,0.3
197606,66.5,2.0
197607,68.5,0.7
197608,67.8,-1.2
197609,68.8,0.6
197610,67.7,2.8
197611,64.4,4.4
197612,58.5,2.7
197701,56.0,1.2
197702,59.1,3.1
197703,54.5,-2.1
197704,59.6,0.6
197705,59.6,-1.8
197706,63.6,-0.9
197707,67.1,-0.7
197708,69.4,0.4
197709,67.1,-1.1
197710,64.7,-0.2
197711,63.2,3.2
197712,59.4,3.6
197801,57.0,2.2
197802,56.7,0.7
197803,60.6,4.0
197804,57.6,-1.4
197805,64.0,2.6
197806,66.1,1.6
197807,66.2,-1.6
197808,68.3,-0.7
197809,72.1,3.9
197810,66.8,1.9
197811,57.5,-2.5
197812,52.7,-3.1
197901,53.0,-1.8
197902,52.7,-3.3
197903,56.0,-0.6
197904,58.6,-0.4
197905,62.1,0.7
197906,67.7,3.2
197907,66.9,-0.9
197908,69.4,0.4
197909,72.3,4.1
197910,64.5,-0.4
197911,59.5,-0.5
197912,59.1,3.3
198001,58.1,3.3
198002,59.7,3.7
198003,56.8,0.2
198004,59.1,0.1
198005,58.6,-2.8
198006,64.2,-0.3
198007,67.2,-0.6
198008,69.4,0.4
198009,65.5,-2.7
198010,64.7,-0.2
198011,60.9,0.9
198012,58.7,2.9
198101,58.0,3.2
198102,59.1,3.1
198103,56.5,-0.1
198104,59.6,0.6
198105,63.2,1.8
198106,70.4,5.9
198107,70.1,2.3
198108,69.8,0.8
198109,68.1,-0.1
198110,63.8,-1.1
198111,60.5,0.5
198112,57.9,2.1
198201,53.1,-1.7
198202,57.5,1.5
198203,56.0,-0.6
198204,58.6,-0.4
198205,61.0,-0.4
198206,62.0,-2.5
198207,67.8,0.0
198208,69.9,0.9
198209,70.1,1.9
198210,67.7,2.8
198211,59.7,-0.3
198212,54.8,-1.0
198301,57.3,2.5
198302,55.8,-0.2
198303,56.3,-0.3
198304,57.7,-1.3
198305,61.5,0.1
198306,64.4,-0.1
198307,68.6,0.8
198308,72.6,3.6
198309,71.4,3.2
198310,68.5,3.6
198311,60.0,0.0
198312,56.1,0.3
198401,57.2,2.4
198402,57.5,1.5
198403,60.3,3.7
198404,60.4,1.4
198405,65.0,3.6
198406,66.1,1.6
198407,70.3,2.5
198408,72.1,3.1
198409,75.5,7.3
198410,64.6,-0.3
198411,57.7,-2.3
198412,54.2,-1.6
198501,54.5,-0.3
198502,55.6,-0.4
198503,54.2,-2.4
198504,59.8,0.8
198505,60.2,-1.2
198506,65.1,0.6
198507,70.5,2.7
198508,69.0,0.0
198509,67.6,-0.6
198510,66.1,1.2
198511,57.6,-2.4
198512,58.1,2.3
198601,61.2,6.4
198602,57.6,1.6
198603,58.2,1.6
198604,60.7,1.7
198605,62.3,0.9
198606,65.3,0.8
198607,67.4,-0.4
198608,67.8,-1.2
198609,64.7,-3.5
198610,65.3,0.4
198611,63.9,3.9
198612,57.3,1.5
198701,53.9,-0.9
198702,57.3,1.3
198703,57.9,1.3
198704,62.1,3.1
198705,63.2,1.8
198706,63.6,-0.9
198707,65.2,-2.6
198708,66.6,-2.4
198709,68.6,0.4
198710,67.9,3.0
198711,60.8,0.8
198712,52.8,-3.0
198801,55.7,0.9
198802,59.6,3.6
198803,61.4,4.8
198804,60.2,1.2
198805,61.9,0.5
198806,62.6,-1.9
198807,68.1,0.3
198808,67.2,-1.8
198809,66.6,-1.6
198810,65.0,0.1
198811,59.1,-0.9
198812,55.4,-0.4
198901,54.4,-0.4
198902,53.8,-2.2
198903,57.8,1.2
198904,63.7,4.7
198905,61.4,0.0
198906,64.1,-0.4
198907,68.4,0.6
198908,66.6,-2.4
198909,67.2,-1.0
198910,64.8,-0.1
198911,64.1,4.1
198912,59.5,3.7
199001,56.0,1.2
199002,53.9,-2.1
199003,56.5,-0.1
199004,61.4,2.4
199005,61.6,0.2
199006,66.5,2.0
199007,70.3,2.5
