New York (Central Park), New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1930-2000
Missing: -99
Date,Value,Anomaly
189501,28.1,-3.5
189502,22.7,-10.5
189503,34.1,-6.6
189504,48.0,-3.3
189505,61.3,-0.7
189506,72.0,0.7
189507,71.3,-5.0
189508,74.2,-0.4
189509,69.5,2.0
189510,50.0,-6.9
189511,45.2,-0.9
189512,36.1,0.3
189601,27.6,-4.0
189602,29.0,-4.2
189603,30.4,-10.3
189604,50.7,-0.6
189605,65.2,3.2
189606,68.5,-2.8
189607,75.2,-1.1
189608,74.5,-0.1
189609,65.3,-2.2
189610,51.4,-5.5
189611,47.0,0.9
189612,32.2,-3.6
189701,28.4,-3.2
189702,30.8,-2.4
189703,38.6,-2.1
189704,48.5,-2.8
189705,59.6,-2.4
189706,65.7,-5.6
189707,75.1,-1.2
189708,71.4,-3.2
189709,65.0,-2.5
189710,54.5,-2.4
189711,43.0,-3.1
189712,36.4,0.6
189801,32.9,1.3
189802,33.7,0.5
189803,43.9,3.2
189804,45.8,-5.5
189805,57.1,-4.9
189806,70.0,-1.3
189807,75.0,-1.3
189808,74.0,-0.6
189809,68.8,1.3
189810,57.2,0.3
189811,43.1,-3.0
189812,32.7,-3.1
189901,28.9,-2.7
189902,25.6,-7.6
189903,35.9,-4.8
189904,47.7,-3.6
189905,60.9,-1.1
189906,72.9,1.6
189907,75.2,-1.1
189908,74.0,-0.6
189909,63.9,-3.6
189910,56.7,-0.2
189911,43.7,-2.4
189912,35.8,0.0
190001,30.1,-1.5
190002,28.4,-4.8
190003,31.6,-9.1
190004,48.7,-2.6
190005,58.0,-4.0
190006,69.8,-1.5
190007,76.3,0.0
190008,75.6,1.0
190009,69.2,1.7
190010,59.5,2.6
190011,46.8,0.7
190012,34.3,-1.5
190101,30.5,-1.1
190102,24.4,-8.8
190103,36.4,-4.3
190104,46.7,-4.6
190105,56.4,-5.6
190106,69.7,-1.6
190107,77.3,1.0
190108,73.9,-0.7
190109,66.6,-0.9
190110,54.2,-2.7
190111,37.4,-8.7
190112,34.0,-1.8
190201,28.3,-3.3
190202,27.5,-5.7
190203,42.5,1.8
190204,49.2,-2.1
190205,57.7,-4.3
190206,65.8,-5.5
190207,71.8,-4.5
190208,70.8,-3.8
190209,64.7,-2.8
190210,56.0,-0.9
190211,49.1,3.0
190212,30.5,-5.3
190301,28.5,-3.1
190302,31.4,-1.8
190303,46.3,5.6
190304,50.8,-0.5
190305,62.1,0.1
190306,62.9,-8.4
190307,73.7,-2.6
190308,67.8,-6.8
190309,65.5,-2.0
190310,56.3,-0.6
190311,39.8,-6.3
190312,29.6,-6.2
190401,23.3,-8.3
190402,22.9,-10.3
190403,34.3,-6.4
190404,45.1,-6.2
190405,62.7,0.7
190406,68.6,-2.7
190407,73.1,-3.2
190408,70.8,-3.8
190409,64.8,-2.7
190410,51.3,-5.6
190411,39.4,-6.7
190412,27.6,-8.2
190501,26.5,-5.1
190502,22.0,-11.2
190503,37.9,-2.8
190504,47.9,-3.4
190505,59.2,-2.8
190506,68.1,-3.2
190507,75.6,-0.7
190508,72.6,-2.0
190509,67.3,-0.2
190510,56.8,-0.1
