San Diego, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1941-2000
Missing: -99
Date,Value,Anomaly
194103,60.4,2.9
194104,59.2,-0.8
194105,65.6,3.3
194106,64.8,0.0
194107,67.8,-0.8
194108,69.1,-1.0
194109,66.3,-2.7
194110,63.9,-1.5
194111,61.8,1.7
194112,55.9,-0.1
194201,56.0,1.0
194202,53.9,-2.6
194203,56.2,-1.3
194204,58.6,-1.4
194205,61.7,-0.6
194206,63.2,-1.6
194207,67.9,-0.7
194208,68.4,-1.7
194209,66.1,-2.9
194210,64.3,-1.1
194211,59.3,-0.8
194212,55.8,-0.2
194301,55.3,0.3
194302,58.0,1.5
194303,58.3,0.8
194304,59.4,-0.6
194305,63.3,1.0
194306,63.5,-1.3
194307,67.4,-1.2
194308,69.5,-0.6
194309,67.0,-2.0
194310,64.1,-1.3
194311,60.0,-0.1
194312,56.2,0.2
194401,54.7,-0.3
194402,52.9,-3.6
194403,57.1,-0.4
194404,57.9,-2.1
194405,61.2,-1.1
194406,62.5,-2.3
194407,65.1,-3.5
194408,67.6,-2.5
194409,65.2,-3.8
194410,62.9,-2.5
194411,58.1,-2.0
194412,56.5,0.5
194501,53.6,-1.4
194502,55.1,-1.4
194503,54.2,-3.3
194504,56.7,-3.3
194505,61.0,-1.3
194506,63.3,-1.5
194507,67.4,-1.2
194508,70.2,0.1
194509,69.7,0.7
194510,65.7,0.3
194511,58.4,-1.7
194512,55.6,-0.4
194601,54.4,-0.6
194602,52.7,-3.8
194603,55.4,-2.1
194604,60.8,0.8
194605,62.0,-0.3
194606,66.3,1.5
194607,69.1,0.5
194608,70.7,0.6
194609,69.4,0.4
194610,62.5,-2.9
194611,56.5,-3.6
194612,55.4,-0.6
194701,51.8,-3.2
194702,56.9,0.4
194703,59.1,1.6
194704,61.3,1.3
194705,62.2,-0.1
194706,65.0,0.2
194707,67.8,-0.8
194708,69.3,-0.8
194709,69.5,0.5
194710,64.9,-0.5
194711,56.7,-3.4
194712,54.1,-1.9
194801,54.0,-1.0
194802,52.5,-4.0
194803,54.2,-3.3
194804,59.5,-0.5
194805,60.8,-1.5
194806,63.0,-1.8
194807,65.3,-3.3
194808,66.6,-3.5
194809,66.7,-2.3
194810,62.4,-3.0
194811,58.3,-1.8
194812,52.0,-4.0
194901,46.1,-8.9
194902,51.1,-5.4
194903,54.5,-3.0
194904,59.6,-0.4
194905,61.3,-1.0
194906,65.5,0.7
194907,67.7,-0.9
194908,68.5,-1.6
194909,68.3,-0.7
194910,62.6,-2.8
194911,63.0,2.9
194912,53.2,-2.8
195001,50.4,-4.6
195002,53.9,-2.6
195003,56.6,-0.9
195004,58.9,-1.1
195005,59.4,-2.9
195006,62.5,-2.3
195007,67.9,-0.7
195008,66.5,-3.6
195009,65.8,-3.2
195010,65.1,-0.3
195011,60.8,0.7
195012,58.0,2.0
195101,54.0,-1.0
195102,53.9,-2.6
195103,57.1,-0.4
195104,59.0,-1.0
195105,60.5,-1.8
195106,64.1,-0.7
195107,67.6,-1.0
195108,67.3,-2.8
195109,66.1,-2.9
195110,65.1,-0.3
195111,59.8,-0.3
195112,53.8,-2.2
195201,52.7,-2.3
195202,56.2,-0.3
195203,54.2,-3.3
195204,58.0,-2.0
195205,62.4,0.1
195206,62.2,-2.6
195207,66.6,-2.0
195208,68.6,-1.5
195209,68.8,-0.2
195210,63.5,-1.9
195211,57.9,-2.2
195212,54.7,-1.3
195301,58.3,3.3
195302,55.3,-1.2
195303,56.0,-1.5
195304,57.2,-2.8
195305,61.2,-1.1
195306,63.1,-1.7
195307,69.1,0.5
195308,68.2,-1.9
195309,66.5,-2.5
195310,65.8,0.4
195311,61.4,1.3
195312,56.0,0.0
195401,53.3,-1.7
195402,59.5,3.0
195403,55.5,-2.0
195404,59.3,-0.7
195405,61.2,-1.1
195406,63.4,-1.4
195407,70.2,1.6
195408,69.3,-0.8
195409,67.6,-1.4
195410,62.5,-2.9
195411,62.0,1.9
195412,56.5,0.5
195501,52.3,-2.7
195502,53.8,-2.7
195503,58.0,0.5
195504,58.0,-2.0
195505,60.1,-2.2
195506,63.1,-1.7
195507,66.6,-2.0
195508,70.7,0.6
195509,69.8,0.8
195510,61.6,-3.8
195511,58.3,-1.8
195512,55.5,-0.5
195601,53.8,-1.2
195602,51.8,-4.7
195603,56.4,-1.1
195604,57.1,-2.9
195605,62.8,0.5
195606,64.7,-0.1
195607,67.7,-0.9
195608,68.0,-2.1
195609,70.4,1.4
195610,64.1,-1.3
195611,62.5,2.4
195612,58.2,2.2
195701,54.8,-0.2
195702,58.4,1.9
195703,58.0,0.5
195704,59.1,-0.9
195705,61.5,-0.8
195706,66.5,1.7
195707,69.7,1.1
195708,71.6,1.5
195709,68.4,-0.6
195710,63.9,-1.5
195711,59.0,-1.1
195712,59.7,3.7
195801,57.8,2.8
195802,58.8,2.3
195803,55.9,-1.6
195804,62.1,2.1
195805,64.2,1.9
195806,66.3,1.5
195807,68.4,-0.2
195808,71.3,1.2
195809,71.0,2.0
195810,69.2,3.8
195811,60.2,0.1
195812,60.3,4.3
195901,58.1,3.1
195902,55.4,-1.1
195903,61.6,4.1
195904,63.0,3.0
195905,62.7,0.4
195906,66.5,1.7
195907,72.0,3.4
195908,71.9,1.8
195909,69.9,0.9
195910,65.6,0.2
195911,63.6,3.5
195912,58.5,2.5
196001,53.2,-1.8
196002,55.2,-1.3
196003,58.3,0.8
196004,61.2,1.2
196005,63.1,0.8
196006,64.8,0.0
196007,69.5,0.9
196008,69.5,-0.6
196009,70.6,1.6
196010,64.3,-1.1
196011,58.8,-1.3
196012,54.6,-1.4
196101,59.0,4.0
196102,57.3,0.8
196103,57.3,-0.2
196104,60.2,0.2
196105,59.8,-2.5
196106,63.0,-1.8
196107,68.4,-0.2
196108,70.9,0.8
196109,67.9,-1.1
196110,65.0,-0.4
196111,58.6,-1.5
196112,54.4,-1.6
196201,55.0,0.0
196202,54.8,-1.7
196203,54.1,-3.4
196204,60.1,0.1
196205,60.9,-1.4
196206,62.3,-2.5
196207,66.5,-2.1
196208,68.8,-1.3
196209,66.7,-2.3
196210,62.9,-2.5
196211,58.1,-2.0
196212,54.7,-1.3
196301,53.4,-1.6
196302,59.5,3.0
196303,55.8,-1.7
196304,57.1,-2.9
196305,62.0,-0.3
196306,63.0,-1.8
196307,66.5,-2.1
196308,70.4,0.3
196309,72.6,3.6
196310,66.5,1.1
196311,59.5,-0.6
196312,56.8,0.8
196401,53.6,-1.4
196402,55.0,-1.5
196403,56.1,-1.4
196404,58.6,-1.4
196405,59.2,-3.1
196406,62.3,-2.5
196407,67.6,-1.0
196408,69.0,-1.1
196409,66.1,-2.9
196410,66.9,1.5
196411,57.4,-2.7
196412,53.9,-2.1
196501,54.3,-0.7
196502,54.2,-2.3
196503,56.9,-0.6
196504,59.0,-1.0
196505,60.8,-1.5
196506,62.1,-2.7
196507,66.1,-2.5
196508,70.3,0.2
196509,66.8,-2.2
196510,67.7,2.3
196511,59.7,-0.4
196512,53.9,-2.1
196601,52.7,-2.3
196602,53.4,-3.1
196603,56.9,-0.6
196604,60.1,0.1
196605,62.3,0.0
