San Francisco, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1946-2000
Missing: -99
Date,Value,Anomaly
194601,48.6,0.2
194602,48.2,-3.3
194603,51.6,-1.3
194604,53.6,-1.7
194605,55.7,-2.4
194606,58.9,-2.2
194607,62.0,-0.4
194608,60.6,-2.7
194609,63.1,-0.8
194610,59.0,-1.8
194611,52.0,-2.7
194612,49.1,-0.1
194701,45.0,-3.4
194702,-99.0,-150.5
194703,55.0,2.1
194704,57.3,2.0
194705,58.5,0.4
194706,63.0,1.9
194707,61.6,-0.8
194708,63.5,0.2
194709,62.0,-1.9
194710,60.5,-0.3
194711,51.9,-2.8
194712,48.0,-1.2
194801,51.3,2.9
194802,48.5,-3.0
194803,50.2,-2.7
194804,52.9,-2.4
194805,55.4,-2.7
194806,60.7,-0.4
194807,61.5,-0.9
194808,62.0,-1.3
194809,60.5,-3.4
194810,59.3,-1.5
194811,53.5,-1.2
194812,46.1,-3.1
194901,42.6,-5.8
194902,47.3,-4.2
194903,52.8,-0.1
194904,54.2,-1.1
194905,56.9,-1.2
194906,60.7,-0.4
194907,59.7,-2.7
194908,-99.0,-162.3
194909,63.2,-0.7
194910,57.5,-3.3
194911,57.0,2.3
194912,47.4,-1.8
195001,44.5,-3.9
195002,49.6,-1.9
195003,51.1,-1.8
195004,54.9,-0.4
195005,56.2,-1.9
195006,59.3,-1.8
195007,62.2,-0.2
195008,62.8,-0.5
195009,64.2,0.3
195010,61.1,0.3
195011,59.9,5.2
195012,53.9,4.7
195101,48.9,0.5
195102,50.5,-1.0
195103,51.9,-1.0
195104,52.4,-2.9
195105,58.5,0.4
195106,59.4,-1.7
195107,59.3,-3.1
195108,61.9,-1.4
195109,62.4,-1.5
195110,60.4,-0.4
195111,54.2,-0.5
195112,48.8,-0.4
195201,47.3,-1.1
195202,51.7,0.2
195203,51.4,-1.5
195204,55.2,-0.1
195205,57.3,-0.8
195206,58.3,-2.8
195207,62.9,0.5
195208,60.7,-2.6
195209,63.2,-0.7
195210,59.3,-1.5
195211,52.1,-2.6
195212,50.7,1.5
195301,53.3,4.9
195302,50.4,-1.1
195303,51.2,-1.7
195304,52.7,-2.6
195305,56.1,-2.0
195306,59.1,-2.0
195307,60.7,-1.7
195308,62.6,-0.7
195309,64.6,0.7
195310,59.0,-1.8
195311,55.4,0.7
195312,51.4,2.2
195401,49.7,1.3
195402,51.5,0.0
195403,50.1,-2.8
195404,56.9,1.6
195405,57.2,-0.9
195406,59.3,-1.8
195407,62.4,0.0
195408,61.6,-1.7
195409,62.2,-1.7
195410,-99.0,-159.8
195411,53.6,-1.1
195412,47.9,-1.3
195501,45.1,-3.3
195502,49.1,-2.4
195503,52.8,-0.1
195504,52.3,-3.0
195505,57.8,-0.3
195506,59.8,-1.3
195507,59.8,-2.6
195508,60.3,-3.0
195509,61.6,-2.3
195510,59.7,-1.1
195511,54.1,-0.6
195512,52.0,2.8
195601,50.1,1.7
195602,48.0,-3.5
195603,51.6,-1.3
195604,54.1,-1.2
195605,58.4,0.3
195606,61.4,0.3
195607,61.8,-0.6
195608,62.3,-1.0
195609,63.8,-0.1
195610,58.2,-2.6
195611,54.5,-0.2
195612,48.6,-0.6
195701,45.8,-2.6
195702,52.9,1.4
195703,53.6,0.7
195704,56.7,1.4
195705,58.7,0.6
195706,63.7,2.6
195707,64.3,1.9
195708,62.8,-0.5
195709,65.5,1.6
195710,61.1,0.3
195711,53.8,-0.9
195712,49.5,0.3
195801,50.1,1.7
195802,55.5,4.0
195803,-99.0,-151.9
195804,-99.0,-154.3
195805,-99.0,-157.1
195806,-99.0,-160.1
195807,-99.0,-161.4
195808,-99.0,-162.3
195809,-99.0,-162.9
195810,-99.0,-159.8
195811,-99.0,-153.7
195812,-99.0,-148.2
195901,-99.0,-147.4
195902,-99.0,-150.5
195903,-99.0,-151.9
195904,-99.0,-154.3
195905,-99.0,-157.1
195906,-99.0,-160.1
195907,-99.0,-161.4
195908,-99.0,-162.3
195909,-99.0,-162.9
195910,-99.0,-159.8
195911,-99.0,-153.7
195912,-99.0,-148.2
196001,-99.0,-147.4
196002,-99.0,-150.5
196003,-99.0,-151.9
196004,-99.0,-154.3
196005,-99.0,-157.1
196006,-99.0,-160.1
196007,-99.0,-161.4
196008,-99.0,-162.3
196009,-99.0,-162.9
196010,-99.0,-159.8
196011,-99.0,-153.7
196012,-99.0,-148.2
196101,-99.0,-147.4
196102,-99.0,-150.5
196103,-99.0,-151.9
196104,-99.0,-154.3
196105,-99.0,-157.1
196106,62.7,1.6
196107,64.1,1.7
196108,64.5,1.2
196109,64.1,0.2
196110,60.6,-0.2
196111,52.8,-1.9
196112,47.1,-2.1
196201,47.1,-1.3
196202,50.0,-1.5
196203,50.4,-2.5
196204,55.8,0.5
196205,56.8,-1.3
196206,59.9,-1.2
196207,60.3,-2.1
196208,63.7,0.4
196209,60.9,-3.0
196210,59.5,-1.3
196211,55.4,0.7
196212,49.5,0.3
196301,45.3,-3.1
196302,55.9,4.4
196303,51.8,-1.1
196304,52.8,-2.5
196305,56.9,-1.2
196306,58.8,-2.3
196307,62.3,-0.1
196308,63.6,0.3
196309,66.3,2.4
196310,62.1,1.3
196311,54.1,-0.6
196312,46.1,-3.1
196401,47.9,-0.5
196402,50.8,-0.7
196403,51.8,-1.1
196404,54.0,-1.3
196405,-99.0,-157.1
196406,61.6,0.5
196407,63.4,1.0
196408,64.6,1.3
196409,63.8,-0.1
196410,61.2,0.4
196411,52.0,-2.7
196412,51.6,2.4
196501,48.8,0.4
196502,50.7,-0.8
196503,52.6,-0.3
196504,54.8,-0.5
196505,55.5,-2.6
196506,58.6,-2.5
196507,60.6,-1.8
196508,63.6,0.3
196509,61.4,-2.5
196510,62.9,2.1
196511,55.5,0.8
196512,45.2,-4.0
196601,47.9,-0.5
196602,49.1,-2.4
196603,51.9,-1.0
196604,58.1,2.8
196605,57.6,-0.5
196606,61.7,0.6
196607,60.8,-1.6
196608,62.6,-0.7
196609,64.3,0.4
196610,60.7,-0.1
196611,55.0,0.3
196612,49.3,0.1
196701,49.5,1.1
196702,51.7,0.2
196703,52.7,-0.2
196704,51.2,-4.1
196705,58.7,0.6
196706,59.6,-1.5
196707,63.0,0.6
196708,63.1,-0.2
196709,66.7,2.8
196710,63.8,3.0
196711,58.1,3.4
196712,48.4,-0.8
196801,46.8,-1.6
196802,54.8,3.3
196803,54.8,1.9
196804,55.2,-0.1
196805,56.6,-1.5
196806,61.6,0.5
196807,62.2,-0.2
196808,64.8,1.5
196809,64.3,0.4
196810,59.6,-1.2
196811,54.5,-0.2
196812,47.9,-1.3
196901,47.2,-1.2
196902,49.0,-2.5
196903,52.3,-0.6
196904,54.1,-1.2
196905,59.6,1.5
196906,61.2,0.1
196907,62.4,0.0
196908,63.1,-0.2
196909,64.0,0.1
196910,61.3,0.5
196911,56.2,1.5
196912,53.8,4.6
197001,52.5,4.1
197002,54.9,3.4
197003,56.4,3.5
197004,53.8,-1.5
197005,60.6,2.5
197006,60.6,-0.5
197007,63.0,0.6
197008,61.7,-1.6
197009,65.6,1.7
197010,58.6,-2.2
197011,56.0,1.3
197012,48.8,-0.4
197101,48.4,0.0
197102,50.1,-1.4
197103,52.2,-0.7
197104,53.1,-2.2
197105,56.5,-1.6
197106,60.2,-0.9
197107,60.8,-1.6
197108,65.3,2.0
197109,66.3,2.4
197110,57.1,-3.7
197111,53.3,-1.4
197112,46.2,-3.0
197201,45.8,-2.6
197202,52.1,0.6
197203,55.4,2.5
197204,55.5,0.2
197205,57.7,-0.4
197206,60.9,-0.2
197207,64.4,2.0
197208,64.1,0.8
197209,62.7,-1.2
197210,61.1,0.3
197211,53.3,-1.4
197212,45.0,-4.2
197301,48.1,-0.3
197302,53.0,1.5
197303,51.5,-1.4
197304,56.9,1.6
197305,58.8,0.7
197306,63.6,2.5
197307,62.2,-0.2
197308,60.8,-2.5
197309,63.6,-0.3
197310,60.8,0.0
197311,54.0,-0.7
197312,50.1,0.9
197401,48.7,0.3
197402,49.8,-1.7
197403,53.5,0.6
197404,54.9,-0.4
197405,56.3,-1.8
197406,60.5,-0.6
197407,63.2,0.8
197408,63.8,0.5
197409,62.6,-1.3
197410,62.1,1.3
197411,53.9,-0.8
197412,48.7,-0.5
197501,47.5,-0.9
197502,51.0,-0.5
197503,51.5,-1.4
197504,50.7,-4.6
197505,58.5,0.4
197506,60.0,-1.1
197507,61.9,-0.5
197508,63.1,-0.2
197509,61.5,-2.4
197510,58.9,-1.9
197511,52.3,-2.4
197512,49.4,0.2
197601,48.6,0.2
197602,50.6,-0.9
197603,51.1,-1.8
197604,53.4,-1.9
197605,58.4,0.3
197606,63.3,2.2
197607,62.6,0.2
197608,64.4,1.1
197609,63.3,-0.6
197610,61.4,0.6
197611,57.1,2.4
197612,48.9,-0.3
197701,47.1,-1.3
197702,53.3,1.8
197703,51.0,-1.9
197704,55.6,0.3
197705,55.9,-2.2
197706,60.5,-0.6
197707,62.5,0.1
197708,64.2,0.9
197709,63.6,-0.3
197710,60.6,-0.2
197711,55.4,0.7
197712,52.4,3.2
197801,52.6,4.2
197802,52.9,1.4
197803,57.1,4.2
197804,55.0,-0.3
197805,60.5,2.4
197806,60.5,-0.6
197807,61.5,-0.9
197808,63.4,0.1
197809,65.9,2.0
197810,61.3,0.5
197811,52.6,-2.1
197812,46.1,-3.1
197901,47.6,-0.8
197902,50.4,-1.1
197903,54.6,1.7
197904,55.6,0.3
197905,60.5,2.4
197906,61.1,0.0
197907,63.9,1.5
197908,63.8,0.5
197909,67.4,3.5
197910,62.7,1.9
197911,54.2,-0.5
197912,51.0,1.8
198001,50.6,2.2
198002,54.6,3.1
198003,53.1,0.2
198004,56.0,0.7
198005,56.4,-1.7
198006,60.0,-1.1
198007,63.1,0.7
198008,61.6,-1.7
198009,63.3,-0.6
198010,61.3,0.5
198011,55.7,1.0
198012,50.8,1.6
198101,51.2,2.8
198102,54.1,2.6
198103,53.3,0.4
198104,56.2,0.9
198105,59.1,1.0
198106,65.1,4.0
198107,61.8,-0.6
198108,63.0,-0.3
198109,62.8,-1.1
198110,-99.0,-159.8
198111,-99.0,-153.7
198112,-99.0,-148.2
198201,-99.0,-147.4
198202,-99.0,-150.5
198203,-99.0,-151.9
198204,-99.0,-154.3
198205,-99.0,-157.1
198206,-99.0,-160.1
198207,-99.0,-161.4
198208,-99.0,-162.3
198209,-99.0,-162.9
198210,-99.0,-159.8
198211,-99.0,-153.7
198212,-99.0,-148.2
198301,-99.0,-147.4
198302,-99.0,-150.5
198303,-99.0,-151.9
198304,-99.0,-154.3
198305,-99.0,-157.1
198306,-99.0,-160.1
198307,64.5,2.1
198308,66.3,3.0
198309,67.7,3.8
198310,63.8,3.0
198311,54.9,0.2
198312,52.8,3.6
198401,50.7,2.3
198402,52.3,0.8
198403,56.4,3.5
198404,55.4,0.1
198405,61.2,3.1
